Name,Score,Type,Episodes,Aired,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
Ashita e Free Kick,6.516025641025641,TV,52,"Apr 14, 1992 to Apr 24, 1993",Original,PG-13 - Teens 13 or older,1726,4,107,792,83,144,600,42.0,42.0,79.0,147.0,167.0,84.0,33.0,8.0,7.0,15.0,Sports,,,,
Mahoutsukai Sally 2,6.413551401869159,TV,88,"Oct 9, 1989 to Dec 22, 1990",Original,G - All Ages,1189,2,43,611,50,104,381,21.0,22.0,49.0,110.0,125.0,57.0,25.0,9.0,3.0,7.0,Comedy, Magic, Shoujo,,
Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,6.197452229299363,TV,26,"Jan 9, 1980 to Jul 9, 1980",Other,G - All Ages,735,2,34,221,32,77,371,10.0,4.0,9.0,48.0,39.0,27.0,11.0,2.0,3.0,4.0,Adventure, Fantasy,,,
Sasurai no Shoujo Nell,6.3364928909952605,TV,26,"Oct 25, 1979 to Apr 24, 1980",Novel,G - All Ages,1036,1,74,292,49,97,524,16.0,10.0,21.0,49.0,55.0,32.0,15.0,4.0,5.0,4.0,Adventure, Historical, Shoujo,,
Mahou Shoujo Lalabel,6.387464387464387,TV,49,"Feb 15, 1980 to Feb 27, 1981",Original,G - All Ages,1464,1,70,486,66,116,726,11.0,28.0,47.0,80.0,94.0,51.0,19.0,11.0,6.0,4.0,Slice of Life, Magic, Comedy, Shoujo,
Paris no Isabelle,5.5721393034825875,TV,13,"Apr 19, 1979 to Jul 12, 1979",Original,G - All Ages,805,0,44,257,33,84,387,10.0,4.0,16.0,40.0,37.0,39.0,23.0,12.0,11.0,9.0,Historical, Drama,,,
Makyou Densetsu Acrobunch,5.845714285714286,TV,24,"May 5, 1982 to Dec 24, 1982",Original,PG-13 - Teens 13 or older,850,0,51,217,30,81,471,10.0,4.0,16.0,33.0,38.0,38.0,18.0,7.0,6.0,5.0,Mecha, Sci-Fi, Shounen,,
Majokko Tickle,6.0964912280701755,TV,45,"Mar 6, 1978 to Jan 29, 1979",Original,G - All Ages,970,3,59,320,43,101,447,12.0,7.0,26.0,47.0,53.0,46.0,22.0,7.0,5.0,3.0,Magic, Comedy, Shoujo,,
Seijuuki Cyguard,5.231923601637107,OVA,1,"Jan 11, 1989",Original,R - 17+ (violence & profanity),3369,0,115,1870,42,58,1284,18.0,21.0,70.0,223.0,343.0,331.0,226.0,131.0,67.0,36.0,Mecha, Sci-Fi, Supernatural,,
Maze☆Bakunetsu Jikuu: Hot Springs,6.276595744680851,Special,1,1998,Manga,PG-13 - Teens 13 or older,995,0,39,497,33,34,392,21.0,12.0,43.0,74.0,82.0,49.0,26.0,7.0,8.0,7.0,Action, Comedy, Ecchi, Fantasy,
Sugar Bunnies,6.105263157894737,TV,26,"Apr 3, 2007 to Sep 25, 2007",Original,G - All Ages,633,3,23,137,23,73,377,9.0,2.0,14.0,21.0,15.0,14.0,7.0,5.0,2.0,6.0,Kids,,,,
Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!,5.618546845124283,Movie,1,"Jul 20, 1986",Game,G - All Ages,3868,16,62,2697,37,82,990,88.0,66.0,153.0,364.0,466.0,423.0,236.0,130.0,97.0,69.0,Adventure, Comedy, Shounen,,
Ookiku Furikabutte: Kihon no Kihon,7.28466293788637,Special,1,"Feb 27, 2008",Manga,G - All Ages,11496,12,88,9557,78,87,1686,350.0,679.0,1711.0,2512.0,1080.0,355.0,67.0,19.0,8.0,13.0,Sports, Drama, Seinen,,
Junk Boy,5.975498203201568,OVA,1,"Dec 16, 1987",Manga,R+ - Mild Nudity,6430,17,208,3849,79,99,2195,161.0,157.0,347.0,631.0,651.0,439.0,286.0,160.0,121.0,108.0,Comedy, Romance, Ecchi,,
Mazinger Z tai Devilman,6.1521268925739,Movie,1,"Jul 18, 1973",Original,PG-13 - Teens 13 or older,3363,3,85,1890,53,80,1255,63.0,62.0,136.0,340.0,323.0,252.0,116.0,48.0,24.0,23.0,Adventure, Demons, Mecha, Sci-Fi, Shounen
Ougon Bat,6.024922118380062,TV,52,"Apr 1, 1967 to Mar 23, 1968",Novel,PG-13 - Teens 13 or older,1462,4,105,357,100,154,746,16.0,19.0,28.0,67.0,82.0,50.0,24.0,13.0,11.0,11.0,Action, Sci-Fi, Super Power,,
Baccano! Specials,8.13805789922616,Special,3,"Feb 27, 2008 to May 28, 2008",Light novel,R - 17+ (violence & profanity),152860,355,1932,124866,1479,858,23725,14410.0,25984.0,30807.0,17136.0,5587.0,2019.0,626.0,271.0,125.0,342.0,Action, Comedy, Historical, Mystery, Supernatural
Wanpaku Ouji no Orochi Taiji,6.302694136291601,Movie,1,"Mar 24, 1963",Original,PG - Children,1780,6,36,819,31,63,831,26.0,35.0,86.0,148.0,148.0,98.0,50.0,27.0,6.0,7.0,Adventure,,,,
H. P. Lovecraft's The Dunwich Horror and Other Stories,6.1155015197568385,OVA,1,"Aug 28, 2007",Novel,PG-13 - Teens 13 or older,2781,5,67,876,35,52,1751,22.0,30.0,70.0,168.0,173.0,90.0,50.0,20.0,15.0,20.0,Horror,,,,
Ginga Sengoku Gunyuuden Rai,7.938570729319628,TV,52,"Apr 8, 1994 to Mar 31, 1995",Manga,PG-13 - Teens 13 or older,11612,71,530,5114,375,362,5231,683.0,815.0,1232.0,774.0,331.0,123.0,62.0,33.0,17.0,16.0,Sci-Fi, Adventure, Space, Romance, Shounen
Bikkuriman,6.025210084033613,TV,75,"Oct 11, 1987 to Apr 2, 1989",Other,G - All Ages,557,0,26,163,26,84,258,12.0,3.0,14.0,17.0,31.0,18.0,8.0,6.0,3.0,7.0,Comedy, Fantasy,,,
Onikirimaru,6.257555847568988,OVA,4,"Sep 9, 1994 to Jul 21, 1995",Original,R - 17+ (violence & profanity),2404,2,122,975,65,70,1172,27.0,42.0,87.0,188.0,207.0,106.0,50.0,32.0,12.0,10.0,Action, Demons, Martial Arts, Shounen,
1001 Nights,6.289138576779027,Movie,1,"Apr 24, 1999",Other,R+ - Mild Nudity,9942,23,200,5384,106,184,4068,201.0,266.0,570.0,863.0,900.0,588.0,284.0,143.0,88.0,102.0,Demons, Fantasy, Romance, Seinen,
Time Bokan,6.391566265060241,TV,61,"Oct 4, 1975 to Dec 25, 1976",Original,G - All Ages,1831,2,84,576,100,210,861,28.0,25.0,61.0,141.0,114.0,71.0,26.0,11.0,6.0,15.0,Adventure, Comedy, Mecha,,
Kamen Rider Den-O: Imagin Anime,6.640287769784172,OVA,10,"Apr 25, 2008",Other,G - All Ages,1094,8,46,606,30,63,349,49.0,39.0,44.0,106.0,74.0,44.0,25.0,10.0,14.0,12.0,Action, Adventure, Comedy, Super Power, Kids
Mobile Suit Gundam 00 Second Season,8.106986980551193,TV,25,"Oct 5, 2008 to Mar 29, 2009",Original,R - 17+ (violence & profanity),127119,1402,4138,102871,2370,1504,16236,13037.0,20521.0,24272.0,14335.0,5088.0,2090.0,928.0,337.0,133.0,138.0,Action, Drama, Mecha, Military, Sci-Fi
Ugokie Kori no Tatehiki,5.618279569892473,Movie,1,"Dec 31, 1933",Original,G - All Ages,1068,1,24,790,9,52,193,19.0,18.0,30.0,98.0,144.0,126.0,53.0,30.0,21.0,19.0,Comedy, Supernatural,,,
Issunboushi no Shusse,4.427001569858713,Movie,1,1929,Original,G - All Ages,1117,1,11,953,5,36,112,12.0,9.0,15.0,48.0,91.0,154.0,108.0,67.0,81.0,52.0,Supernatural,,,,
Initial D Battle Stage 2,7.700536809815951,OVA,1,"May 30, 2007",Manga,PG-13 - Teens 13 or older,22278,37,358,17144,180,207,4389,1549.0,1424.0,2663.0,2985.0,1139.0,487.0,97.0,32.0,18.0,38.0,Action, Cars, Sports, Drama, Seinen
Magnerobo Ga-Keen,6.1115702479338845,TV,39,"Sep 5, 1976 to Jun 26, 1977",Original,PG-13 - Teens 13 or older,884,0,58,276,58,100,392,13.0,14.0,24.0,52.0,59.0,39.0,14.0,14.0,7.0,6.0,Action, Mecha, Sci-Fi,,
Karakuri Kiden: Hiwou Senki,6.425076452599388,TV,26,"Oct 24, 2000 to May 1, 2001",Original,PG-13 - Teens 13 or older,1342,1,77,394,66,125,680,20.0,16.0,54.0,76.0,78.0,37.0,22.0,10.0,8.0,6.0,Action, Adventure, Mecha, Historical,
Personal Computer Travel Tanteidan,6.156351791530945,TV,26,"Apr 4, 1983 to Sep 26, 1983",Original,PG - Children,921,3,29,441,25,85,341,28.0,22.0,26.0,52.0,66.0,56.0,22.0,14.0,13.0,8.0,Kids, Adventure, Historical, Sci-Fi,
Takoyaki Mant-Man,6.166666666666667,TV,77,"Apr 4, 1998 to Sep 5, 1999",Picture book,PG - Children,329,0,16,139,10,74,90,5.0,4.0,7.0,25.0,21.0,16.0,2.0,6.0,2.0,2.0,Comedy, Sci-Fi,,,
Jarinko Chie,7.126250962278676,Movie,1,"Apr 11, 1981",Manga,PG-13 - Teens 13 or older,3138,7,55,1638,50,61,1334,80.0,119.0,315.0,416.0,217.0,89.0,34.0,19.0,4.0,6.0,Slice of Life, Comedy, Drama, Seinen,
Jarinko Chie (TV),6.534351145038168,TV,64,"Oct 3, 1981 to Mar 25, 1983",Manga,G - All Ages,803,2,46,157,34,88,478,16.0,12.0,16.0,29.0,20.0,16.0,7.0,5.0,4.0,6.0,Slice of Life, Comedy, Drama, Seinen,
Mahou Sensei Negima!: Introduction Film,6.73429802955665,OVA,3,"Aug 25, 2004 to Mar 24, 2005",Manga,R+ - Mild Nudity,10346,9,360,5241,226,177,4342,281.0,229.0,467.0,832.0,750.0,431.0,122.0,62.0,39.0,35.0,Action, Harem, Comedy, Supernatural, Romance
Blue Seed 1.5,6.592079207920792,OVA,2,"Jun 21, 1996",Original,R - 17+ (violence & profanity),2030,2,65,873,50,54,988,29.0,35.0,80.0,123.0,132.0,59.0,18.0,12.0,11.0,6.0,Comedy, Romance, Sci-Fi,,
Tales of Symphonia The Animation: Kratos-sensei no Private Lesson,6.7898529835687516,Special,1,"Jun 8, 2007",Game,G - All Ages,7886,8,96,5194,102,77,2417,253.0,280.0,520.0,986.0,720.0,468.0,131.0,55.0,37.0,19.0,Comedy, School,,,
Shakugan no Shana-tan II (Second),7.247485896492519,Special,3,"Jan 25, 2008 to Oct 19, 2009",Original,PG-13 - Teens 13 or older,39711,79,607,30214,544,394,7952,2044.0,2362.0,4511.0,5630.0,3226.0,1575.0,564.0,232.0,120.0,121.0,Comedy, Parody,,,
Kannagi,7.30329176570182,TV,13,"Oct 4, 2008 to Dec 27, 2008",Manga,PG-13 - Teens 13 or older,137337,359,6456,76495,4360,3977,46049,3035.0,7474.0,17307.0,19351.0,8741.0,3715.0,1111.0,386.0,154.0,152.0,Comedy, School, Shounen, Supernatural,
Armored Core: Fort Tower Song,4.502777777777778,ONA,1,2006,Original,PG-13 - Teens 13 or older,1299,1,27,543,14,35,680,7.0,3.0,7.0,24.0,49.0,99.0,79.0,36.0,31.0,25.0,Action, Mecha, Sci-Fi,,
Chocolate Underground,6.105322977836711,ONA,13,"Jun 12, 2008 to Sep 4, 2008",Novel,PG - Children,11585,9,365,6248,400,779,3793,161.0,232.0,593.0,1222.0,1323.0,931.0,436.0,204.0,108.0,69.0,Adventure, Comedy, Kids,,
Turn A Gundam I Movie: Earth Light,6.584970111016226,Movie,1,"Feb 9, 2002",Original,PG-13 - Teens 13 or older,3956,0,93,1871,99,114,1779,58.0,86.0,168.0,332.0,263.0,149.0,60.0,29.0,13.0,13.0,Action, Drama, Mecha, Military, Sci-Fi
Turn A Gundam II Movie: Moonlight Butterfly,6.739837398373984,Movie,1,"Feb 10, 2002",Original,PG-13 - Teens 13 or older,3805,1,90,1780,87,110,1738,66.0,85.0,166.0,328.0,250.0,122.0,55.0,19.0,9.0,7.0,Action, Drama, Mecha, Military, Sci-Fi
Nodame Cantabile: Nodame to Chiaki no Umi Monogatari,7.4078393485611755,Special,1,"Feb 16, 2008",Manga,G - All Ages,25733,15,211,20418,205,105,4794,1164.0,1736.0,3703.0,4737.0,2064.0,765.0,207.0,59.0,30.0,26.0,Comedy, Josei, Romance, Slice of Life,
Dragoon,5.668903803131991,OVA,3,"Jul 25, 1997 to Nov 28, 1997",Game,R+ - Mild Nudity,1489,2,57,612,40,53,727,13.0,16.0,33.0,80.0,98.0,101.0,60.0,24.0,9.0,13.0,Adventure, Fantasy,,,
Kagaku Kyuujo-tai TechnoVoyager,5.985714285714286,TV,18,"Apr 17, 1982 to Sep 11, 1982",Original,PG-13 - Teens 13 or older,796,3,46,281,35,97,337,12.0,9.0,20.0,48.0,49.0,32.0,14.0,8.0,8.0,10.0,Action, Adventure, Mecha, Sci-Fi, Space
Yu☆Gi☆Oh! 5D's,7.332796546858139,TV,154,"Apr 2, 2008 to Mar 30, 2011",Manga,PG-13 - Teens 13 or older,102854,1353,7764,67244,7670,9137,11039,5814.0,7928.0,14887.0,16101.0,8288.0,4213.0,1619.0,669.0,404.0,312.0,Action, Game, Shounen,,
Ikuze! Gen-san,5.638297872340425,ONA,24,"Mar 24, 2008 to Sep 1, 2008",Original,G - All Ages,246,0,13,76,6,40,111,3.0,5.0,2.0,9.0,10.0,4.0,4.0,2.0,1.0,7.0,Comedy,,,,
Tetsuwan Birdy Decode,7.42963528737827,TV,13,"Jul 5, 2008 to Sep 27, 2008",Manga,PG-13 - Teens 13 or older,80455,377,3941,38798,3110,2621,31985,1808.0,4298.0,9482.0,9582.0,3829.0,1632.0,476.0,161.0,87.0,67.0,Action, Sci-Fi, Comedy,,
Uchi no 3 Shimai,6.4646464646464645,TV,102,"Apr 8, 2008 to Mar 30, 2010",Other,G - All Ages,503,2,38,131,27,98,209,11.0,5.0,15.0,20.0,19.0,17.0,2.0,4.0,0.0,6.0,Slice of Life, Comedy,,,
To Heart Omake,6.305343511450381,Special,6,"Apr 1, 1999 to Jun 24, 1999",Original,PG-13 - Teens 13 or older,2764,0,59,1421,69,64,1151,36.0,36.0,115.0,224.0,253.0,166.0,40.0,19.0,17.0,11.0,Slice of Life, Comedy, Harem, School,
Suna no Bara: Yuki no Mokushiroku,6.288922155688622,OVA,1,"Apr 25, 1993",Manga,R+ - Mild Nudity,2043,4,83,893,31,35,1001,19.0,18.0,77.0,179.0,196.0,119.0,37.0,17.0,4.0,2.0,Action,,,,
Kumo to Tulip,5.69120654396728,Movie,1,"Apr 15, 1943",Picture book,G - All Ages,1751,0,31,1346,16,50,308,24.0,22.0,86.0,162.0,265.0,217.0,105.0,43.0,28.0,26.0,Adventure,,,,
Mahou Shoujo-tai Arusu the Adventure,6.808801213960546,OVA,6,"Nov 22, 2007",Original,PG-13 - Teens 13 or older,4559,4,171,1843,132,111,2302,46.0,106.0,243.0,414.0,293.0,140.0,51.0,13.0,5.0,7.0,Adventure, Comedy, Fantasy, Magic,
Dream Hunter Rem,6.154394299287411,OVA,4,"Dec 15, 1985 to Feb 25, 1987",Original,R - 17+ (violence & profanity),5156,16,370,1505,177,173,2931,36.0,54.0,140.0,335.0,299.0,199.0,120.0,48.0,17.0,15.0,Mystery, Magic, Ecchi,,
First Squad,5.8360701363762875,Music,1,"Mar 20, 2005",Original,PG-13 - Teens 13 or older,6487,5,101,5076,35,69,1206,132.0,163.0,324.0,653.0,864.0,737.0,330.0,160.0,120.0,110.0,Action, Music,,,
Paul no Miracle Daisakusen,6.528957528957529,TV,50,"Oct 3, 1976 to Sep 11, 1977",Original,G - All Ages,704,1,31,345,27,89,212,12.0,17.0,41.0,57.0,69.0,40.0,13.0,6.0,3.0,1.0,Action, Adventure, Kids,,
Choujin Locke: Lord Leon,6.0625,OVA,3,"Oct 25, 1989 to Dec 16, 1989",Manga,PG-13 - Teens 13 or older,1059,0,43,478,24,40,474,11.0,13.0,44.0,75.0,92.0,57.0,36.0,8.0,9.0,7.0,Action, Sci-Fi, Super Power,,
School Rumble San Gakki,7.347433070866142,OVA,2,"Jul 17, 2008 to Sep 17, 2008",Manga,PG-13 - Teens 13 or older,55150,107,738,42570,671,400,10771,3195.0,4398.0,7632.0,8471.0,4318.0,1956.0,985.0,371.0,231.0,193.0,Comedy, Romance, School, Shounen,
Seiyou Kottou Yougashiten: Antique,6.978153218759103,TV,12,"Jul 4, 2008 to Sep 19, 2008",Manga,PG-13 - Teens 13 or older,31703,105,1440,16830,1346,1976,10111,768.0,1398.0,2914.0,4115.0,2372.0,1275.0,512.0,153.0,106.0,119.0,Comedy, Shoujo, Shounen Ai,,
Kitty's Paradise,6.4375,TV,16,"Apr 6, 1994 to Sep 28, 1994",Original,G - All Ages,1142,4,34,688,37,96,287,50.0,18.0,52.0,96.0,90.0,87.0,24.0,8.0,16.0,7.0,Fantasy, Kids,,,
Sanrio Anime Sekai Meisaku Gekijou,6.300947867298579,TV,13,"Sep 19, 1987 to Dec 12, 1987",Original,G - All Ages,1149,1,52,595,41,98,363,39.0,17.0,49.0,86.0,90.0,79.0,28.0,14.0,13.0,7.0,Adventure, Fantasy, Kids,,
Asobou! Hello Kitty,6.233173076923077,TV,26,"Apr 6, 1994 to Sep 28, 1994",Original,G - All Ages,1074,8,32,611,30,111,290,46.0,17.0,33.0,91.0,89.0,69.0,30.0,11.0,17.0,13.0,Adventure, Fantasy, Kids,,
Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi,6.945340149429807,Movie,1,"Jul 19, 2008",Game,PG - Children,65771,38,300,61594,198,215,3464,2517.0,3371.0,7631.0,12854.0,7921.0,4228.0,1308.0,543.0,215.0,100.0,Action, Adventure, Fantasy, Kids,
Slayers Revolution,7.2889588759009145,TV,13,"Jul 3, 2008 to Sep 25, 2008",Light novel,PG-13 - Teens 13 or older,32451,51,1116,21872,1172,1077,7214,1287.0,1988.0,4057.0,4959.0,2475.0,1016.0,454.0,165.0,66.0,44.0,Adventure, Comedy, Fantasy,,
Sakigake!! Otokojuku Movie,6.766710353866317,Movie,1,"Jul 23, 1988",Original,PG-13 - Teens 13 or older,1983,3,59,1049,38,47,790,42.0,54.0,129.0,218.0,175.0,93.0,34.0,13.0,4.0,1.0,Action, Comedy, Martial Arts, School, Shounen
The iDOLM@STER Live For You!,6.224627083942673,OVA,1,"Feb 28, 2008",Game,PG-13 - Teens 13 or older,8714,9,172,4925,133,145,3339,164.0,132.0,371.0,797.0,919.0,595.0,242.0,90.0,71.0,38.0,Comedy, Drama, Music,,
Cowboy Bebop: Yose Atsume Blues,7.4828954965357966,Special,1,"Jun 26, 1998",Original,R - 17+ (violence & profanity),35850,81,656,20913,466,273,13542,1747.0,1783.0,3339.0,3745.0,1859.0,902.0,268.0,120.0,50.0,43.0,Action, Adventure, Comedy, Drama, Sci-Fi
Zettai Karen Children,7.193249258160237,TV,51,"Apr 6, 2008 to Mar 29, 2009",Manga,PG-13 - Teens 13 or older,39507,115,2501,12523,2208,2542,19733,725.0,1228.0,2757.0,3124.0,1593.0,790.0,310.0,139.0,63.0,55.0,Action, Comedy, Supernatural, Shounen,
Golgo 13 (TV),7.372536882286186,TV,50,"Apr 12, 2008 to Mar 28, 2009",Manga,R+ - Mild Nudity,33598,195,3196,8876,2603,2394,16529,812.0,1308.0,2683.0,2629.0,1203.0,623.0,237.0,83.0,58.0,57.0,Action, Adventure, Drama, Thriller, Seinen
Hanappe Bazooka,5.416586306653809,OVA,1,"Sep 4, 1992",Manga,R+ - Mild Nudity,2401,5,83,1326,43,52,897,27.0,26.0,67.0,190.0,243.0,195.0,102.0,78.0,63.0,46.0,Action, Comedy, Ecchi, Magic, School
Youkai Ningen Bem,6.009554140127388,TV,26,"Oct 7, 1968 to Mar 31, 1969",Original,PG-13 - Teens 13 or older,1360,3,75,410,79,144,652,20.0,15.0,29.0,66.0,72.0,53.0,22.0,11.0,14.0,12.0,Horror, Demons,,,
Mafukiden: Pandarian,6.124,TV,26,"Jan 8, 2005 to Jul 9, 2005",Original,G - All Ages,722,2,36,313,31,98,244,15.0,13.0,33.0,49.0,51.0,44.0,17.0,13.0,9.0,6.0,Adventure, Comedy, Fantasy, Kids, Magic
Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,6.727467811158799,TV,52,"Apr 6, 2005 to Mar 29, 2006",Card game,G - All Ages,2575,9,127,1273,115,176,884,64.0,51.0,142.0,285.0,211.0,111.0,40.0,10.0,11.0,7.0,Fantasy,,,,
Net Ghost Pipopa,6.682842287694974,TV,51,"Apr 6, 2008 to Mar 29, 2009",Original,G - All Ages,1646,7,124,639,113,248,522,38.0,49.0,107.0,145.0,106.0,68.0,25.0,19.0,11.0,9.0,Action, Adventure, Comedy, Kids, Sci-Fi
Medarot Damashii,6.629980796927509,TV,39,"Jul 7, 2000 to Mar 30, 2001",Game,G - All Ages,15634,9,387,11510,413,761,2563,423.0,517.0,1254.0,2491.0,1892.0,1011.0,418.0,198.0,88.0,40.0,Action, Sci-Fi, Adventure,,
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,8.035034272658034,OVA,7,"Apr 25, 2008 to Jan 23, 2009",Manga,PG-13 - Teens 13 or older,30907,70,600,25366,364,311,4266,2831.0,3715.0,5097.0,3423.0,1213.0,494.0,155.0,63.0,33.0,45.0,Comedy, Sports, School, Shounen,
Norimono Oukoku BuBu ChaCha,6.918803418803419,TV,26,"Apr 29, 1999 to Nov 25, 1999",Original,G - All Ages,630,2,21,320,23,86,180,24.0,19.0,46.0,61.0,40.0,23.0,9.0,3.0,4.0,5.0,Slice of Life, Comedy,,,
Masuda Kousuke Gekijou Gag Manga Biyori 3,7.2244131455399065,TV,12,"Mar 10, 2008 to Jun 2, 2008",Manga,PG-13 - Teens 13 or older,2433,4,87,1461,71,98,716,101.0,136.0,224.0,297.0,173.0,69.0,37.0,11.0,8.0,9.0,Comedy,,,,
Makyou Gaiden Le Deus,5.457098283931357,OVA,1,"Dec 1, 1987",Original,PG-13 - Teens 13 or older,1531,0,45,798,33,44,611,10.0,16.0,30.0,101.0,166.0,147.0,107.0,33.0,18.0,13.0,Action, Adventure, Mecha, Sci-Fi,
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",8.001189483565884,Special,1,"Jul 16, 2008",Visual novel,PG-13 - Teens 13 or older,255959,873,1913,230911,875,704,21556,27518.0,38108.0,50316.0,33545.0,13138.0,5458.0,1808.0,684.0,403.0,525.0,Drama, Romance, School, Slice of Life,
Grimm Meisaku Gekijou,7.462977396726423,TV,24,"Oct 21, 1987 to Mar 30, 1988",Other,G - All Ages,3544,15,132,1763,120,151,1378,175.0,146.0,305.0,344.0,182.0,79.0,30.0,15.0,4.0,3.0,Adventure, Comedy, Fantasy, Kids, Magic
Grimm Masterpiece Theater II,7.504391468005019,TV,23,"Oct 2, 1988 to Mar 26, 1989",Other,G - All Ages,2033,2,61,1160,73,99,640,112.0,99.0,188.0,216.0,105.0,46.0,13.0,10.0,4.0,4.0,Adventure, Comedy, Fantasy, Kids, Magic
Musashi no Ken,7.214470284237726,TV,72,"Apr 18, 1985 to Sep 26, 1986",Manga,G - All Ages,1929,10,143,445,125,135,1081,39.0,44.0,85.0,112.0,60.0,22.0,9.0,9.0,2.0,5.0,Sports, Shounen,,,
Sekirei,7.102559957507245,TV,12,"Jul 2, 2008 to Sep 17, 2008",Manga,R+ - Mild Nudity,329432,1727,13255,231704,7084,11297,66092,13072.0,19234.0,38317.0,49731.0,27272.0,14117.0,6348.0,2791.0,1421.0,903.0,Action, Comedy, Ecchi, Harem, Super Power
Tytania,6.718028419182948,TV,26,"Oct 9, 2008 to Mar 26, 2009",Light novel,PG-13 - Teens 13 or older,17390,35,1063,7086,976,1596,6669,243.0,559.0,1381.0,1967.0,1214.0,772.0,327.0,135.0,94.0,64.0,Adventure, Military, Psychological, Romance, Sci-Fi
Shin Megami Tensei Devil Children,6.428044280442805,TV,50,"Oct 7, 2000 to Sep 29, 2001",Game,PG - Children,1905,2,95,349,67,120,1274,25.0,12.0,31.0,66.0,58.0,44.0,15.0,11.0,4.0,5.0,Action, Adventure, Demons, Fantasy, Game
Shin Megami Tensei Devil Children: Light & Dark,6.458563535911602,TV,52,"Oct 5, 2002 to Sep 27, 2003",Original,PG - Children,1421,0,76,270,43,95,937,16.0,14.0,21.0,37.0,38.0,31.0,12.0,3.0,7.0,2.0,Action, Kids, Adventure, Fantasy, Magic
Pucca (ONA),6.617747440273037,ONA,46,2000 to 2005,Original,G - All Ages,7149,16,182,5570,245,378,774,395.0,319.0,548.0,858.0,891.0,645.0,201.0,126.0,63.0,56.0,Comedy, Romance,,,
Black Jack: Dr. Pinoko no Mori no Bouken,6.349431818181818,Movie,1,"Dec 17, 2005",Original,G - All Ages,1933,1,41,1060,41,69,722,47.0,40.0,62.0,148.0,202.0,136.0,36.0,15.0,9.0,9.0,Comedy,,,,
Black Jack (TV): Hizouban Specials,7.198589894242068,Special,2,"Jul 17, 2006",Original,G - All Ages,2567,1,63,1326,56,74,1048,71.0,83.0,165.0,306.0,136.0,61.0,14.0,4.0,7.0,4.0,Adventure,,,,
Kyouryuu Daisensou Izenborg,6.735015772870662,TV,39,"Oct 7, 1977 to Jun 30, 1978",Original,G - All Ages,897,11,46,417,36,84,314,43.0,32.0,45.0,59.0,51.0,37.0,25.0,10.0,8.0,7.0,Action, Mecha,,,
"Arano no Sakebi Koe: Hoero, Buck",6.569148936170213,Special,1,"Jan 3, 1981",Novel,PG - Children,1144,2,34,538,9,57,506,25.0,29.0,56.0,99.0,74.0,51.0,18.0,9.0,5.0,10.0,Adventure, Drama,,,
Super Robot Taisen OG: Divine Wars - Sorezore no Michi,6.88677130044843,Special,1,"Oct 26, 2007",Game,PG-13 - Teens 13 or older,2303,5,56,1309,44,48,846,60.0,59.0,157.0,282.0,185.0,100.0,33.0,11.0,2.0,3.0,Action, Comedy, Mecha,,
Kyou no 5 no 2 Kagai Jugyou: Mizukake,7.001843657817109,Special,1,"Jan 30, 2008",Manga,PG-13 - Teens 13 or older,5823,1,108,3893,78,60,1684,150.0,250.0,526.0,858.0,553.0,257.0,83.0,24.0,7.0,4.0,Comedy, Ecchi, School, Seinen,
Kyou kara Maou! 3rd Series,7.8225967957276366,TV,39,"Apr 3, 2008 to Feb 19, 2009",Light novel,PG-13 - Teens 13 or older,28542,145,1997,15390,1626,920,8609,1785.0,2165.0,3296.0,2857.0,1136.0,486.0,130.0,59.0,31.0,39.0,Adventure, Comedy, Demons, Fantasy, Shoujo
Natsume Yuujinchou,8.297079009316667,TV,13,"Jul 8, 2008 to Sep 30, 2008",Manga,PG-13 - Teens 13 or older,412285,13533,25556,181953,17366,9667,177743,30891.0,39093.0,44534.0,24081.0,7548.0,3074.0,874.0,325.0,141.0,244.0,Slice of Life, Demons, Supernatural, Drama, Shoujo
Kaibutsu Oujo: Konsui Oujo,7.040334692126153,Special,1,"Feb 14, 2008",Manga,PG-13 - Teens 13 or older,10205,12,211,7004,140,92,2758,281.0,397.0,932.0,1572.0,876.0,409.0,130.0,32.0,23.0,9.0,Action, Comedy, Horror, Supernatural, Vampire
Wonder Beat Scramble,6.64344262295082,TV,26,"Apr 16, 1986 to Nov 19, 1986",Original,PG-13 - Teens 13 or older,831,2,42,326,47,93,323,19.0,16.0,42.0,64.0,49.0,22.0,15.0,9.0,4.0,4.0,Action, Space, Sci-Fi,,
Yonimo Osoroshii Grimm Douwa,5.952662721893491,OVA,3,2000,Other,R - 17+ (violence & profanity),1107,2,33,246,26,54,748,9.0,11.0,20.0,27.0,39.0,25.0,15.0,11.0,4.0,8.0,Dementia, Horror, Psychological,,
